               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088843,            0.040604,            0.032047,             0.50221,             0.24618,             0.15834,            0.062523,            0.063523,            0.022523,            0.021776,           0.0032889,           0.0032889,              0.0704
                   1,            0.069672,            0.027123,            0.018037,             0.20516,             0.50262,             0.27634,             0.12384,            0.060443,            0.016903,            0.018752,           0.0066113,           0.0066113,            0.040389
                   2,            0.062529,            0.025509,            0.014663,             0.45464,             0.55371,             0.51231,             0.23182,             0.05675,            0.016357,            0.017384,           0.0099227,           0.0099227,            0.010367
                   3,            0.055946,            0.025235,            0.011838,             0.37665,              0.6894,             0.51892,              0.2654,            0.044558,            0.017417,             0.01635,           0.0099505,           0.0099505,           0.0099505
                   4,            0.046154,            0.023167,            0.010076,             0.52982,             0.56858,             0.60308,             0.29471,            0.040361,            0.015985,             0.01425,           0.0099505,           0.0099505,           0.0099505
                   5,            0.040867,            0.023736,           0.0090649,             0.61963,              0.6618,             0.66008,             0.35557,            0.042151,            0.016219,            0.014462,            0.009934,            0.009934,            0.009934
                   6,            0.040146,             0.02311,            0.008451,             0.62407,             0.61028,             0.64868,             0.33643,            0.038139,            0.016208,            0.012125,           0.0099175,           0.0099175,           0.0099175
                   7,            0.037537,             0.02315,           0.0083908,             0.65711,             0.57846,             0.61234,             0.31482,            0.039301,            0.015841,             0.01362,            0.009901,            0.009901,            0.009901
                   8,            0.035198,            0.022785,           0.0075026,             0.73504,             0.54972,             0.64417,             0.33802,            0.037299,            0.015608,            0.013636,           0.0098845,           0.0098845,           0.0098845
                   9,            0.035373,            0.022162,            0.006878,              0.6799,             0.60893,             0.63659,             0.36687,            0.038434,            0.015663,            0.014249,            0.009868,            0.009868,            0.009868
                  10,            0.035955,            0.021517,            0.006544,             0.69387,             0.56203,             0.65247,             0.33121,            0.039324,            0.015411,            0.011582,           0.0098515,           0.0098515,           0.0098515
                  11,             0.03437,            0.022241,           0.0070511,             0.87917,             0.56857,             0.68132,              0.3874,            0.037247,            0.015098,            0.012996,            0.009835,            0.009835,            0.009835
                  12,            0.033712,            0.021991,           0.0062644,             0.75725,              0.5969,             0.69229,              0.3999,            0.033773,            0.014656,            0.011488,           0.0098185,           0.0098185,           0.0098185
                  13,            0.031985,            0.021842,           0.0060272,              0.7965,               0.525,             0.67748,              0.4202,             0.03665,            0.015128,            0.013099,            0.009802,            0.009802,            0.009802
                  14,             0.03156,             0.02084,           0.0056193,             0.58937,             0.68767,             0.67724,             0.42664,            0.033325,             0.01503,            0.012953,           0.0097855,           0.0097855,           0.0097855
                  15,            0.031027,            0.021262,           0.0050668,              0.7043,             0.66429,             0.71098,              0.4469,            0.035005,            0.015127,            0.011006,            0.009769,            0.009769,            0.009769
                  16,            0.030657,            0.021002,           0.0053262,             0.64783,               0.708,             0.70801,             0.45189,             0.03384,            0.015857,            0.013065,           0.0097525,           0.0097525,           0.0097525
                  17,            0.030226,            0.020865,           0.0050623,             0.69572,             0.66521,             0.72542,             0.45422,            0.033471,            0.014423,            0.010927,            0.009736,            0.009736,            0.009736
                  18,            0.031169,            0.020562,            0.005088,             0.74582,             0.68118,             0.73481,             0.44444,            0.034219,            0.014802,             0.01158,           0.0097195,           0.0097195,           0.0097195
                  19,            0.029542,             0.02113,           0.0047042,             0.67283,             0.61626,             0.66735,             0.42733,            0.034419,            0.015082,            0.012023,            0.009703,            0.009703,            0.009703
                  20,            0.030509,            0.019806,           0.0047026,               0.808,              0.6487,              0.7377,             0.47403,            0.034166,            0.015207,            0.010932,           0.0096865,           0.0096865,           0.0096865
                  21,            0.031441,            0.020077,           0.0044723,             0.66087,             0.66715,             0.69858,             0.44336,              0.0342,            0.015368,             0.01285,             0.00967,             0.00967,             0.00967
                  22,            0.029509,            0.020157,           0.0042765,             0.73816,             0.66226,             0.72388,             0.47362,            0.032894,            0.015041,            0.012472,           0.0096535,           0.0096535,           0.0096535
                  23,            0.029518,            0.020823,           0.0038841,             0.71646,             0.67202,             0.72396,             0.44275,            0.033103,            0.014803,           0.0091154,            0.009637,            0.009637,            0.009637
                  24,             0.02925,            0.019408,           0.0040796,             0.68969,             0.62751,             0.68894,             0.44099,            0.033809,              0.0145,            0.014098,           0.0096205,           0.0096205,           0.0096205
                  25,            0.028918,            0.020093,           0.0043631,             0.71564,             0.67878,             0.70752,             0.45419,            0.034719,            0.014553,            0.013687,            0.009604,            0.009604,            0.009604
                  26,            0.028788,             0.01991,            0.004495,             0.71624,             0.57806,             0.67796,             0.38802,             0.03477,            0.015152,            0.016027,           0.0095875,           0.0095875,           0.0095875
                  27,            0.027524,            0.020261,           0.0039686,             0.60318,             0.67913,             0.67502,             0.42127,            0.034432,            0.014336,            0.011652,            0.009571,            0.009571,            0.009571
                  28,            0.028215,            0.019303,           0.0038797,             0.63205,             0.74254,             0.72453,              0.4594,            0.031588,            0.014678,            0.012231,           0.0095545,           0.0095545,           0.0095545
                  29,            0.028154,             0.01945,           0.0039904,             0.65798,             0.63474,             0.70062,             0.43746,            0.034589,            0.014792,            0.010659,            0.009538,            0.009538,            0.009538
                  30,            0.027431,            0.019149,           0.0037541,             0.74559,             0.59775,             0.67293,             0.42757,            0.032075,            0.014176,           0.0099807,           0.0095215,           0.0095215,           0.0095215
                  31,            0.027249,            0.019033,           0.0039387,             0.62916,             0.70322,             0.67997,             0.43193,             0.03265,            0.014489,             0.01193,            0.009505,            0.009505,            0.009505
                  32,            0.026961,            0.018371,           0.0036301,             0.71863,             0.62211,             0.68744,             0.44522,            0.031889,             0.01505,             0.01159,           0.0094885,           0.0094885,           0.0094885
                  33,            0.026276,            0.018681,           0.0036479,             0.69712,             0.66851,             0.70429,             0.43759,            0.031395,            0.015208,             0.01139,            0.009472,            0.009472,            0.009472
                  34,            0.026896,             0.01872,           0.0031258,             0.72813,             0.68591,              0.7364,             0.47826,            0.031672,            0.014166,           0.0091161,           0.0094555,           0.0094555,           0.0094555
                  35,            0.027044,            0.019021,           0.0034717,              0.7148,             0.61047,              0.7144,             0.46192,            0.033846,            0.014587,           0.0085099,            0.009439,            0.009439,            0.009439
                  36,            0.026066,            0.018996,           0.0033959,              0.7465,             0.72842,             0.73159,             0.48475,            0.032097,            0.013998,           0.0084726,           0.0094225,           0.0094225,           0.0094225
                  37,            0.026252,             0.01828,           0.0033493,             0.65298,             0.72025,             0.75631,             0.51762,            0.031135,              0.0145,            0.011636,            0.009406,            0.009406,            0.009406
                  38,            0.026014,            0.017951,           0.0032233,             0.88007,             0.57468,             0.71776,             0.45574,            0.031367,            0.015212,            0.011036,           0.0093895,           0.0093895,           0.0093895
                  39,            0.025356,            0.018078,            0.003161,              0.7461,              0.6331,             0.71045,             0.44879,            0.030249,            0.015074,           0.0074637,            0.009373,            0.009373,            0.009373
                  40,            0.026109,            0.018346,           0.0029939,             0.73742,             0.76533,             0.76669,             0.48786,            0.031393,            0.014895,            0.009262,           0.0093565,           0.0093565,           0.0093565
                  41,            0.026368,            0.018586,           0.0029879,             0.68192,             0.69064,             0.71351,             0.48425,            0.031553,            0.014933,           0.0078025,             0.00934,             0.00934,             0.00934
                  42,            0.025875,            0.018469,           0.0034086,             0.80757,             0.65391,              0.7068,             0.47942,            0.030722,             0.01523,            0.012368,           0.0093235,           0.0093235,           0.0093235
                  43,            0.025181,            0.018086,           0.0031543,             0.81707,             0.66346,             0.69983,             0.48995,            0.031212,            0.015546,             0.01005,            0.009307,            0.009307,            0.009307
                  44,            0.025839,            0.018267,           0.0026166,             0.76357,             0.67124,             0.74607,             0.51264,             0.03074,             0.01395,            0.011457,           0.0092905,           0.0092905,           0.0092905
                  45,            0.025405,            0.018167,           0.0032019,             0.65682,             0.67269,             0.69777,              0.4592,            0.031482,            0.015001,            0.014432,            0.009274,            0.009274,            0.009274
                  46,            0.025217,            0.017998,           0.0031121,              0.7872,             0.70823,              0.7524,             0.51339,            0.032232,            0.014472,            0.009113,           0.0092575,           0.0092575,           0.0092575
                  47,            0.025382,            0.017665,           0.0030799,             0.74803,             0.71201,              0.7367,             0.49633,            0.032484,            0.014567,             0.01679,            0.009241,            0.009241,            0.009241
                  48,            0.025147,            0.018818,           0.0027665,             0.73061,             0.70489,             0.73658,             0.47104,            0.030609,            0.014486,            0.011874,           0.0092245,           0.0092245,           0.0092245
                  49,            0.025223,            0.018222,           0.0025291,             0.76266,             0.61939,             0.69801,             0.43559,             0.03227,            0.014585,            0.013755,            0.009208,            0.009208,            0.009208
                  50,            0.023956,            0.017585,            0.002953,             0.74877,             0.66395,             0.71923,             0.48356,            0.031207,            0.015258,             0.01278,           0.0091915,           0.0091915,           0.0091915
                  51,            0.025076,            0.017706,           0.0028979,             0.66224,             0.72077,             0.73253,             0.50651,            0.030831,            0.015479,           0.0083595,            0.009175,            0.009175,            0.009175
                  52,            0.024371,            0.017482,           0.0027796,             0.80538,             0.60515,             0.70333,             0.49486,            0.030948,             0.01509,           0.0090441,           0.0091585,           0.0091585,           0.0091585
                  53,            0.024247,            0.017158,           0.0023015,             0.78374,             0.61383,             0.70732,             0.45889,            0.031601,            0.014541,            0.013531,            0.009142,            0.009142,            0.009142
                  54,            0.024815,            0.017125,           0.0023897,             0.81911,             0.67119,             0.74109,              0.4841,            0.030629,            0.014896,           0.0083523,           0.0091255,           0.0091255,           0.0091255
                  55,            0.023862,            0.017153,           0.0023884,             0.72244,             0.68526,             0.73208,             0.45602,            0.031802,            0.014548,           0.0090325,            0.009109,            0.009109,            0.009109
                  56,            0.024063,            0.017679,           0.0025026,              0.6991,             0.69392,             0.67901,             0.46215,            0.031915,            0.015479,            0.012395,           0.0090925,           0.0090925,           0.0090925
                  57,            0.024762,            0.017653,            0.002815,             0.79735,             0.67076,             0.73477,             0.48863,            0.031986,            0.014503,            0.014028,            0.009076,            0.009076,            0.009076
                  58,            0.023802,            0.017318,           0.0024663,             0.68426,             0.71171,             0.72203,             0.48779,            0.030332,            0.014961,           0.0095447,           0.0090595,           0.0090595,           0.0090595
                  59,             0.02401,             0.01721,           0.0025372,             0.74213,             0.68501,             0.73463,             0.46144,            0.031473,            0.015457,           0.0085642,            0.009043,            0.009043,            0.009043
                  60,             0.02362,            0.016509,           0.0023967,             0.76242,             0.70041,             0.75813,             0.49915,            0.031182,            0.014534,           0.0059606,           0.0090265,           0.0090265,           0.0090265
                  61,            0.023613,            0.016886,            0.002524,             0.67302,             0.71271,             0.71291,             0.45553,            0.030999,            0.015154,           0.0093067,             0.00901,             0.00901,             0.00901
